model,source,throughput_tokens_s,peak_rss_mb,cost_per_1k_tokens,energy_cost_per_1k_tokens,arc_easy,arc_challenge,winogrande,hellaswag,mmlu
Gemma 2 2B (PT),paper,,,,,80.1,55.4,70.9,73.0,51.3
Qwen2.5 1.5B,paper (FP16),3.8,3100,0.012427,,79.92,52.82,66.61,70.95,61.11
Qwen2.5-1.5B-Instruct Q8_0,ours,13.39,1659.0,0.003526,0.000339,74.2,44.2,72.0,65.0,62.52
Qwen2.5-1.5B-Instruct Q4_K_M,ours,17.56,1624.0,0.00269,0.000217,72.0,48.0,69.0,58.0,62.28
Qwen2.5-1.5B-Instruct Q2_K,ours,20.34,737.0,0.002322,0.000304,58.0,37.0,59.0,56.0,51.05
Gemma-2-2B-it Q8_0,ours,7.98,2766.0,0.005914,0.000536,73.0,52.0,70.0,64.0,58.07
Gemma-2-2B-it Q4_K_M,ours,9.32,2662.0,0.005065,0.000386,73.0,49.0,69.0,64.0,61.4
Gemma-2-2B-it Q2_K,ours,11.73,1283.0,0.004026,0.000494,67.0,46.0,67.0,58.0,51.93
BitNet b1.58 2B4T,ours,17.79,1240.0,0.002654,0.000202,74.4,46.2,75.2,58.4,54.51
BitNet b1.58 2B4T,paper,20.0,1400,0.002361,,74.79,49.91,71.9,68.44,53.17
