timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-06-12T21:51:30,1,512,128,206.524,4.842,2775.7,,
2026-06-12T21:59:50,1,512,512,208.665,4.792,2775.7,,
2026-06-12T22:05:13,1,1,512,208.378,4.799,2756.8,,
2026-06-12T22:07:32,2,512,128,121.034,8.262,2775.8,,
2026-06-12T22:12:12,2,512,512,122.189,8.184,2775.8,,
2026-06-12T22:15:22,2,1,512,122.353,8.173,2756.8,,
2026-06-12T22:16:51,4,512,128,103.752,9.638,2776.0,,
2026-06-12T22:20:19,4,512,512,104.766,9.545,2775.8,,
2026-06-12T22:23:02,4,1,512,104.62,9.558,2756.9,,
2026-06-12T22:24:15,6,512,128,98.97,10.104,2776.1,,
2026-06-12T22:27:20,6,512,512,98.98,10.103,2775.9,,
2026-06-12T22:29:54,6,1,512,98.915,10.11,2756.8,,
