timestamp,threads,n_prompt,n_gen,avg_latency_ms_token,throughput_tokens_s,peak_rss_mb,energy_kwh,co2_kg
2026-05-16T04:04:43,1,512,128,100.221,9.978,1631.7,,
2026-05-16T04:08:23,1,512,512,100.969,9.904,1631.6,,
2026-05-16T04:11:00,1,1,512,101.002,9.901,1613.9,,
2026-05-16T04:11:56,2,512,128,57.027,17.536,1631.7,,
2026-05-16T04:13:54,2,512,512,55.426,18.042,1631.8,,
2026-05-16T04:15:21,2,1,512,55.459,18.031,1614.0,,
2026-05-16T04:15:56,4,512,128,39.876,25.078,1631.9,,
2026-05-16T04:17:16,4,512,512,40.29,24.82,1631.9,,
2026-05-16T04:18:20,4,1,512,40.329,24.796,1614.0,,
2026-05-16T04:18:48,6,512,128,36.541,27.366,1631.8,,
2026-05-16T04:19:58,6,512,512,37.281,26.823,1631.9,,
2026-05-16T04:20:57,6,1,512,37.377,26.755,1614.1,,
